kpoints,energy,volume,code,exchange,element,structure
16.0,-6.353176515,28.6256187198,VASP,PBE,Y,hcp
16.0,-6.36452199,28.9269410221,VASP,PBE,Y,hcp
16.0,-6.37484657,29.2282633245,VASP,PBE,Y,hcp
16.0,-6.384298135,29.5295856268,VASP,PBE,Y,hcp
16.0,-6.392908155,29.830907929099997,VASP,PBE,Y,hcp
16.0,-6.400675035,30.132230231399998,VASP,PBE,Y,hcp
16.0,-6.407612585,30.4335525337,VASP,PBE,Y,hcp
16.0,-6.41372598,30.734874836,VASP,PBE,Y,hcp
16.0,-6.419024065,31.0361971383,VASP,PBE,Y,hcp
16.0,-6.423522075,31.337519440700003,VASP,PBE,Y,hcp
16.0,-6.427271175,31.638841743,VASP,PBE,Y,hcp
16.0,-6.42593422,31.455044002199998,VASP,PBE,Y,hcp
16.0,-6.42956024,31.7861497286,VASP,PBE,Y,hcp
16.0,-6.43227362,32.1172554549,VASP,PBE,Y,hcp
16.0,-6.434097195,32.4483611812,VASP,PBE,Y,hcp
16.0,-6.4350738,32.7794669076,VASP,PBE,Y,hcp
16.0,-6.435211905,33.1105726339,VASP,PBE,Y,hcp
16.0,-6.434544485,33.4416783602,VASP,PBE,Y,hcp
16.0,-6.43309361,33.7727840866,VASP,PBE,Y,hcp
16.0,-6.43089008,34.1038898129,VASP,PBE,Y,hcp
16.0,-6.427959745,34.4349955393,VASP,PBE,Y,hcp
16.0,-6.42432953,34.7661012656,VASP,PBE,Y,hcp
36.0,-6.42448211,31.2493815606,VASP,PBE,Y,hcp
36.0,-6.42814095,31.5783224192,VASP,PBE,Y,hcp
36.0,-6.430913425,31.9072632777,VASP,PBE,Y,hcp
36.0,-6.43283338,32.2362041362,VASP,PBE,Y,hcp
36.0,-6.433881645,32.5651449948,VASP,PBE,Y,hcp
36.0,-6.43408291,32.8940858533,VASP,PBE,Y,hcp
36.0,-6.43343322,33.223026711799996,VASP,PBE,Y,hcp
36.0,-6.431999495,33.5519675703,VASP,PBE,Y,hcp
36.0,-6.4298072,33.8809084289,VASP,PBE,Y,hcp
36.0,-6.426880835,34.2098492874,VASP,PBE,Y,hcp
36.0,-6.423256475,34.5387901459,VASP,PBE,Y,hcp
72.0,-6.430130085,31.2232473125,VASP,PBE,Y,hcp
72.0,-6.43401784,31.5519130737,VASP,PBE,Y,hcp
72.0,-6.43694831,31.8805788348,VASP,PBE,Y,hcp
72.0,-6.438949105,32.209244596,VASP,PBE,Y,hcp
72.0,-6.440057305,32.5379103572,VASP,PBE,Y,hcp
72.0,-6.440251705,32.866576118400005,VASP,PBE,Y,hcp
72.0,-6.43960364,33.1952418796,VASP,PBE,Y,hcp
72.0,-6.438145365,33.5239076408,VASP,PBE,Y,hcp
72.0,-6.43591931,33.8525734019,VASP,PBE,Y,hcp
72.0,-6.432951765,34.1812391631,VASP,PBE,Y,hcp
72.0,-6.42927194,34.509904924299995,VASP,PBE,Y,hcp
72.0,-6.35176187,28.44157541380001,VASP,PBE,Y,hcp
72.0,-6.36445995,28.7409604181,VASP,PBE,Y,hcp
72.0,-6.376010985,29.0403454225,VASP,PBE,Y,hcp
72.0,-6.38649766,29.3397304269,VASP,PBE,Y,hcp
72.0,-6.395962645,29.6391154312,VASP,PBE,Y,hcp
72.0,-6.404451455,29.938500435599998,VASP,PBE,Y,hcp
72.0,-6.411990215,30.237885439899998,VASP,PBE,Y,hcp
72.0,-6.418601695,30.5372704443,VASP,PBE,Y,hcp
72.0,-6.42427088,30.836655448600002,VASP,PBE,Y,hcp
72.0,-6.428871015,31.136040453000003,VASP,PBE,Y,hcp
72.0,-6.432619685,31.4354254573,VASP,PBE,Y,hcp
128.0,-6.423520765,31.2214540842,VASP,PBE,Y,hcp
128.0,-6.427540585,31.550100969299997,VASP,PBE,Y,hcp
128.0,-6.430579715,31.8787478544,VASP,PBE,Y,hcp
128.0,-6.43267144,32.207394739499996,VASP,PBE,Y,hcp
128.0,-6.433849825,32.5360416246,VASP,PBE,Y,hcp
128.0,-6.43414874,32.864688509699995,VASP,PBE,Y,hcp
128.0,-6.43360693,33.1933353948,VASP,PBE,Y,hcp
128.0,-6.432259295,33.521982279899994,VASP,PBE,Y,hcp
128.0,-6.4301355,33.8506291649,VASP,PBE,Y,hcp
128.0,-6.427266725,34.17927605,VASP,PBE,Y,hcp
128.0,-6.423681425,34.507922935100005,VASP,PBE,Y,hcp
128.0,-6.344693865,28.4290319861,VASP,PBE,Y,hcp
128.0,-6.35740293,28.7282849544,VASP,PBE,Y,hcp
128.0,-6.369000745,29.0275379227,VASP,PBE,Y,hcp
128.0,-6.379530295,29.3267908909,VASP,PBE,Y,hcp
